survey_concept_id,version_id,question_concept_id,is_main,order
1333342,1,1332756,0,114
1333342,1,715722,0,115
1333342,1,715720,0,116
1333342,1,715723,0,117
1333342,1,1332876,1,118
1333342,1,1332793,0,119
1333342,1,1332853,0,120
1333342,1,1333017,1,121
1333342,1,1333013,0,122
1333342,1,1332800,0,123
1333342,1,1332801,0,124
1333342,1,1332751,0,125
1333342,1,1332802,0,126
1333342,1,1332803,0,127
1333342,1,1332753,0,128
1333342,1,1332804,0,129
1333342,1,1332805,0,130
1333342,1,1332755,0,131
1333342,1,1332806,0,132
1333342,1,1332807,0,133
1333342,1,1333004,0,134
1333342,1,1332808,0,135
1333342,1,1332747,0,136
1333342,1,1332797,0,137
1333342,1,1332819,0,138
1333342,1,1332820,0,139
1333342,1,1332746,0,140
1333342,1,1332822,0,141
1333342,1,1332752,0,142
1333342,1,1332824,0,143
1333342,1,1332826,0,144
1333342,1,1332754,0,145
1333342,1,1332828,0,146
1333342,1,1332829,0,147
1333342,1,1332796,0,148
1333342,1,1332830,0,149
1333342,1,1332831,0,150
1333342,1,1332795,0,151
1333342,1,1332832,0,152
1333342,1,1333018,0,153
1333342,1,1333019,0,154
1333342,1,715724,0,155
1333342,1,1333020,0,156
1333342,1,1333021,0,157
1333342,1,1333022,0,158
1333342,1,1333024,1,159
1333342,1,1332739,1,160
1333342,1,1332848,1,161
1333342,1,1332741,1,162
1333342,1,1333328,1,163
1333342,1,1333311,1,164
1333342,1,1333312,1,165
1333342,1,1333313,1,166
1333342,1,1333314,1,167
1333342,1,1332935,1,168
1333342,1,1332937,1,169
1333342,1,1333298,1,170
1333342,1,1333293,1,171
1333342,1,1332880,1,172
1333342,1,715725,0,173
1333342,2,1333102,1,1
1333342,2,1332748,1,2
1333342,2,1333105,1,3
1333342,2,1332734,1,4
1333342,2,1332735,1,5
1333342,2,1332738,1,6
1333342,2,1332762,1,7
1333342,2,1333301,1,8
1333342,2,1333119,1,9
1333342,2,1333300,1,10
1333342,2,1333325,1,11
1333342,2,715711,0,12
1333342,2,1333235,0,13
1333342,2,1332763,1,14
1333342,2,1333156,1,15
1333342,2,1333327,1,16
1333342,2,1333014,0,17
1333342,2,1333326,0,18
1333342,2,1332742,1,19
1333342,2,1333324,1,20
1333342,2,1333012,0,21
1333342,2,1333234,0,22
1333342,2,1333303,1,23
1333342,2,1333292,1,24
1333342,2,1332866,1,25
1333342,2,1333295,1,26
1333342,2,1333296,1,27
1333342,2,1332867,1,28
1333342,2,1333291,1,29
1333342,2,1333294,1,30
1333342,2,1332847,1,31
1333342,2,1333104,1,32
1333342,2,1332835,1,33
1333342,2,1332749,1,34
1333342,2,1332750,1,35
1333342,2,1333015,1,36
1333342,2,1333023,0,37
1333342,2,1333016,1,38
1333342,2,715714,0,39
1333342,2,1332843,1,40
1333342,2,1332874,1,41
1333342,2,1332737,0,42
1333342,2,715726,0,43
1333342,2,1332744,1,44
1333342,2,1332745,1,45
1333342,2,1332833,1,46
1333342,2,1332792,1,47
1333342,2,1333200,1,48
1333342,2,1333168,1,49
1333342,2,1333185,1,50
1333342,2,1333188,1,51
1333342,2,1333190,1,52
1333342,2,1333191,1,53
1333342,2,1333193,1,54
1333342,2,1333194,1,55
1333342,2,1333163,1,56
1333342,2,1333165,1,57
1333342,2,1333195,1,58
1333342,2,1333167,1,59
1333342,2,1333184,1,60
1333342,2,1333187,1,61
1333342,2,1333189,1,62
1333342,2,1333121,1,63
1333342,2,1333192,1,64
1333342,2,1333281,1,65
1333342,2,1333274,1,66
1333342,2,1333275,1,67
1333342,2,1333276,1,68
1333342,2,1333277,1,69
1333342,2,1333278,1,70
1333342,2,1333279,1,71
1333342,2,1333285,1,72
1333342,2,1333280,1,73
1333342,2,1332878,1,74
1333342,2,1332794,1,75
1333342,2,1332854,1,76
1333342,2,1332861,1,77
1333342,2,1332862,1,78
1333342,2,1332863,1,79
1333342,2,1332944,1,80
