"concept_id_1","concept_id_2","relationship_id"
1384593,43529712,"Has Module"
1384596,43529712,"Has Module"
1384597,43529712,"Has Module"
1384601,43529712,"Has Module"
1384602,43529712,"Has Module"
1384605,43529712,"Has Module"
1384606,43529712,"Has Module"
1384608,43529712,"Has Module"
1384609,43529712,"Has Module"
1384611,43529712,"Has Module"
1384612,43529712,"Has Module"
1384617,43529712,"Has Module"
1384619,43529712,"Has Module"
1384620,43529712,"Has Module"
1384621,43529712,"Has Module"
1384624,43529712,"Has Module"
1384625,43529712,"Has Module"
1384626,43529712,"Has Module"
1384627,43529712,"Has Module"
1384628,43529712,"Has Module"
1384630,43529712,"Has Module"
1384633,43529712,"Has Module"
1384635,43529712,"Has Module"
1384636,43529712,"Has Module"
1384637,43529712,"Has Module"
1384641,43529712,"Has Module"
1384642,43529712,"Has Module"
1384645,43529712,"Has Module"
1384647,43529712,"Has Module"
1384649,43529712,"Has Module"
1384651,43529712,"Has Module"
1384652,43529712,"Has Module"
1384654,43529712,"Has Module"
1384655,43529712,"Has Module"
1384660,43529712,"Has Module"
1384661,43529712,"Has Module"
1384662,43529712,"Has Module"
1384663,43529712,"Has Module"
1384664,43529712,"Has Module"
1384667,43529712,"Has Module"
1384668,43529712,"Has Module"
1384670,43529712,"Has Module"
1384671,43529712,"Has Module"
1384672,43529712,"Has Module"
1585320,1586134,"Has Module"
1585331,1586134,"Has Module"
1585344,1586134,"Has Module"
1585348,1586134,"Has Module"
1585356,1586134,"Has Module"
1585357,1586134,"Has Module"
1585367,1586134,"Has Module"
1585370,1586134,"Has Module"
1585375,1586134,"Has Module"
1585386,1586134,"Has Module"
1585389,1586134,"Has Module"
1585389,43528895,"Has Module"
1585402,1586134,"Has Module"
1585599,1586134,"Has Module"
1585604,1586134,"Has Module"
1585615,1586134,"Has Module"
1585628,1586134,"Has Module"
1585636,1585855,"Has Module"
1585647,1585855,"Has Module"
1585650,1585855,"Has Module"
1585656,1585855,"Has Module"
1585662,1585855,"Has Module"
1585668,1585855,"Has Module"
1585674,1585855,"Has Module"
1585680,1585855,"Has Module"
1585686,1585855,"Has Module"
1585692,1585855,"Has Module"
1585698,1585855,"Has Module"
1585704,1585855,"Has Module"
1585711,1585710,"Has Module"
1585717,1585710,"Has Module"
1585723,1585710,"Has Module"
1585729,1585710,"Has Module"
1585735,1585710,"Has Module"
1585741,1585710,"Has Module"
1585747,1585710,"Has Module"
1585748,1585710,"Has Module"
1585754,1585710,"Has Module"
1585760,1585710,"Has Module"
1585766,1585710,"Has Module"
1585772,1585710,"Has Module"
1585778,1585710,"Has Module"
1585784,1585710,"Has Module"
1585789,1585710,"Has Module"
1585791,1585710,"Has Module"
1585795,1585710,"Has Module"
1585796,1585710,"Has Module"
1585802,1585710,"Has Module"
1585803,1585710,"Has Module"
1585806,1585710,"Has Module"
1585811,1585710,"Has Module"
1585815,1585710,"Has Module"
1585819,1585710,"Has Module"
1585820,1585710,"Has Module"
1585835,1586134,"Has Module"
1585838,1586134,"Has Module"
1585845,1586134,"Has Module"
1585850,1586134,"Has Module"
1585852,1586134,"Has Module"
1585857,1585855,"Has Module"
1585860,1585855,"Has Module"
1585865,1585855,"Has Module"
1585866,1585855,"Has Module"
1585867,1585855,"Has Module"
1585870,1585855,"Has Module"
1585871,1585855,"Has Module"
1585872,1585855,"Has Module"
1585878,1586134,"Has Module"
1585879,1586134,"Has Module"
1585886,1586134,"Has Module"
1585889,1586134,"Has Module"
1585890,1586134,"Has Module"
1585892,1586134,"Has Module"
1585899,1586134,"Has Module"
1585907,1586134,"Has Module"
1585908,1586134,"Has Module"
1585909,1586134,"Has Module"
1585910,1586134,"Has Module"
1585911,1586134,"Has Module"
1585912,1586134,"Has Module"
1585913,1586134,"Has Module"
1585914,1586134,"Has Module"
1585915,1586134,"Has Module"
1585916,1586134,"Has Module"
1585917,1586134,"Has Module"
1585923,1586134,"Has Module"
1585924,1586134,"Has Module"
1585925,1586134,"Has Module"
1585926,1586134,"Has Module"
1585927,1586134,"Has Module"
1585928,1586134,"Has Module"
1585929,1586134,"Has Module"
1585930,1586134,"Has Module"
1585931,1586134,"Has Module"
1585932,1586134,"Has Module"
1585933,1586134,"Has Module"
1585939,1586134,"Has Module"
1585940,1586134,"Has Module"
1585950,1586134,"Has Module"
1585952,1586134,"Has Module"
1585961,1586134,"Has Module"
1585962,1586134,"Has Module"
1585963,1586134,"Has Module"
1585964,1586134,"Has Module"
1585965,1586134,"Has Module"
1585966,1586134,"Has Module"
1585967,1586134,"Has Module"
1586135,1586134,"Has Module"
1586137,1586134,"Has Module"
1586138,1586134,"Has Module"
1586139,1586134,"Has Module"
1586140,1586134,"Has Module"
1586149,1586134,"Has Module"
1586150,1586134,"Has Module"
1586151,1586134,"Has Module"
1586152,1586134,"Has Module"
1586153,1586134,"Has Module"
1586154,1586134,"Has Module"
1586155,1586134,"Has Module"
1586156,1586134,"Has Module"
1586157,1585855,"Has Module"
1586158,1585855,"Has Module"
1586160,1585855,"Has Module"
1586161,1585855,"Has Module"
1586163,1585855,"Has Module"
1586164,1585855,"Has Module"
1586166,1585855,"Has Module"
1586169,1585855,"Has Module"
1586174,1585855,"Has Module"
1586177,1585855,"Has Module"
1586182,1585855,"Has Module"
1586185,1585855,"Has Module"
1586190,1585855,"Has Module"
1586193,1585855,"Has Module"
1586198,1585855,"Has Module"
1586201,1585855,"Has Module"
1586207,1585855,"Has Module"
1586213,1585855,"Has Module"
3046344,1586134,"Has Module"
3051581,1586134,"Has Module"
3051968,1586134,"Has Module"
4047566,43528698,"Has Module"
4050793,43528698,"Has Module"
4050797,43528698,"Has Module"
4050799,43528698,"Has Module"
4050800,43528698,"Has Module"
4050803,43528698,"Has Module"
4050806,43528698,"Has Module"
4050807,43528698,"Has Module"
4050811,43528698,"Has Module"
4050813,43528698,"Has Module"
4050816,43528698,"Has Module"
4050821,43528698,"Has Module"
4050929,43528698,"Has Module"
4050930,43528698,"Has Module"
4050934,43528698,"Has Module"
4051104,43528698,"Has Module"
4051106,43528698,"Has Module"
4051110,43528698,"Has Module"
4051114,43528698,"Has Module"
4051119,43528698,"Has Module"
4051235,43528698,"Has Module"
4051237,43528698,"Has Module"
4051240,43528698,"Has Module"
4051241,43528698,"Has Module"
4051245,43528698,"Has Module"
4051255,43528698,"Has Module"
4051256,43528698,"Has Module"
4051267,43528698,"Has Module"
4051558,43528698,"Has Module"
4051559,43528698,"Has Module"
4051564,43528698,"Has Module"
