id,parent_id,domain_id,is_standard,type,subtype,concept_id,code,name,value,est_count,is_group,is_selectable,has_attribute,has_hierarchy,has_ancestor_data,path,synonyms
328308,328203,PERSON,1,AGE,,,,105,105,0,0,1,0,0,0,,
328309,328203,PERSON,1,AGE,,,,106,106,0,0,1,0,0,0,,
328310,328203,PERSON,1,AGE,,,,107,107,0,0,1,0,0,0,,
328311,328203,PERSON,1,AGE,,,,108,108,0,0,1,0,0,0,,
328312,328203,PERSON,1,AGE,,,,109,109,0,0,1,0,0,0,,
328313,328203,PERSON,1,AGE,,,,110,110,0,0,1,0,0,0,,
328314,328203,PERSON,1,AGE,,,,111,111,0,0,1,0,0,0,,
328315,328203,PERSON,1,AGE,,,,112,112,0,0,1,0,0,0,,
328316,328203,PERSON,1,AGE,,,,113,113,0,0,1,0,0,0,,
328317,328203,PERSON,1,AGE,,,,114,114,0,0,1,0,0,0,,
328318,328203,PERSON,1,AGE,,,,115,115,0,0,1,0,0,0,,
328319,328203,PERSON,1,AGE,,,,116,116,0,0,1,0,0,0,,
328320,328203,PERSON,1,AGE,,,,117,117,0,0,1,0,0,0,,
328321,328203,PERSON,1,AGE,,,,118,118,0,0,1,0,0,0,,
328322,328203,PERSON,1,AGE,,,,119,119,0,0,1,0,0,0,,
328323,328203,PERSON,1,AGE,,,,120,120,0,0,1,0,0,0,,
328324,0,PERSON,1,DECEASED,,,,Deceased,,237,0,1,0,0,0,,Deceased|[person_rank1]
328325,0,PERSON,1,GENDER,,,,Gender,,-1,1,0,0,0,0,,Gender
328326,328325,PERSON,1,GENDER,,8507,,Male,,87787,0,1,0,0,0,,Male|[person_rank1]
328327,328325,PERSON,1,GENDER,,8532,,Female,,143567,0,1,0,0,0,,Female|[person_rank1]
328328,328325,PERSON,1,GENDER,,2000000009,,"Not male, not female, prefer not to answer, or skipped",,21121,0,1,0,0,0,,"Not male, not female, prefer not to answer, or skipped|[person_rank1]"
328329,0,PERSON,1,RACE,,,,Race,,-1,1,0,0,0,0,,Race
328330,328329,PERSON,1,RACE,,0,,Unknown,,55561,0,1,0,0,0,,Unknown|[person_rank1]
328331,328329,PERSON,1,RACE,,8515,,Asian,,7607,0,1,0,0,0,,Asian|[person_rank1]
328332,328329,PERSON,1,RACE,,8516,,Black or african american,,46764,0,1,0,0,0,,Black or african american|[person_rank1]
328333,328329,PERSON,1,RACE,,8527,,White,,120843,0,1,0,0,0,,White|[person_rank1]
328334,328329,PERSON,1,RACE,,903096,,Pmi: skip,,1616,0,1,0,0,0,,Pmi: skip|[person_rank1]
328335,328329,PERSON,1,RACE,,1177221,,I prefer not to answer,,1655,0,1,0,0,0,,I prefer not to answer|[person_rank1]
328336,328329,PERSON,1,RACE,,45882607,,None of these,,2406,0,1,0,0,0,,None of these|[person_rank1]
328337,328329,PERSON,1,RACE,,2000000001,,Another single population,,5424,0,1,0,0,0,,Another single population|[person_rank1]
328338,328329,PERSON,1,RACE,,2000000008,,More than one population,,10599,0,1,0,0,0,,More than one population|[person_rank1]
328339,0,PERSON,1,ETHNICITY,,,,Ethnicity,,-1,1,0,0,0,0,,Ethnicity
328340,328339,PERSON,1,ETHNICITY,,903079,,Pmi: prefer not to answer,,1655,0,1,0,0,0,,Pmi: prefer not to answer|[person_rank1]
328341,328339,PERSON,1,ETHNICITY,,903096,,Pmi: skip,,1616,0,1,0,0,0,,Pmi: skip|[person_rank1]
328342,328339,PERSON,1,ETHNICITY,,1586148,,What race ethnicity: race ethnicity none of these,,2406,0,1,0,0,0,,What race ethnicity: race ethnicity none of these|[person_rank1]
328343,328339,PERSON,1,ETHNICITY,,38003563,,Hispanic or latino,,44652,0,1,0,0,0,,Hispanic or latino|[person_rank1]
328344,328339,PERSON,1,ETHNICITY,,38003564,,Not hispanic or latino,,202146,0,1,0,0,0,,Not hispanic or latino|[person_rank1]
